fan_engg_id,franchise_id,social_media_followers,merchandise_sales,fan_engagement_events
69,2,73277258,7468546.00,"Reactive zero tolerance product"
70,6,7239892,3718957.00,"Enhanced asynchronous frame"
71,2,92671155,3219101.00,"Horizontal attitude-oriented algorithm"
72,2,30575173,385409.00,"Up-sized executive task-force"
73,7,3955816,8007608.00,"Face-to-face multi-state concept"
74,6,61417832,9404556.00,"Universal holistic capacity"
75,6,70412314,3457267.00,"Horizontal fresh-thinking attitude"
76,5,97275704,2277341.00,"Mandatory 5thgeneration array"
77,1,11736830,7027786.00,"Up-sized eco-centric archive"
78,10,58339644,7424038.00,"Visionary bifurcated definition"
79,9,83820879,2564905.00,"Assimilated multi-tasking access"
80,9,46871516,5025199.00,"Synergized bi-directional help-desk"
81,5,69839380,3029337.00,"Customizable client-server installation"
82,10,51202909,3237507.00,"Fundamental fresh-thinking support"
83,10,7595205,8975065.00,"Public-key modular orchestration"
84,4,65341334,9507891.00,"Distributed upward-trending help-desk"
85,9,93376377,1216599.00,"Polarized optimizing adapter"
86,5,34849015,1044792.00,"Organized encompassing parallelism"
87,9,22801337,4371022.00,"Ameliorated intangible solution"
88,6,14059849,1144837.00,"Customer-focused solution-oriented alliance"
89,6,75152518,2459407.00,"Innovative radical analyzer"
90,6,34108692,3084851.00,"Ergonomic web-enabled focus group"
91,9,17639716,9365773.00,"Optional bandwidth-monitored protocol"
92,10,71755482,538305.00,"Innovative hybrid knowledgebase"
93,4,55831620,288458.00,"Multi-channeled motivating standardization"
94,10,57344580,8050036.00,"Reactive full-range capability"
95,5,4819579,4746115.00,"Centralized static process improvement"
96,4,2580347,7195285.00,"Realigned grid-enabled synergy"
97,4,17511269,7731569.00,"Vision-oriented leadingedge software"
98,3,70020659,8304441.00,"Future-proofed multi-state productivity"
99,9,78980347,1259847.00,"Cross-group global application"
100,9,85785185,7960873.00,"Vision-oriented demand-driven knowledgebase"
101,2,3511967,6636810.00,"Face-to-face needs-based parallelism"
102,2,21800551,878560.00,"Synchronized coherent firmware"
103,5,27676282,2082310.00,"Secured fault-tolerant help-desk"
104,8,17603174,6867467.00,"Switchable leadingedge protocol"
105,9,20980331,9786241.00,"Programmable holistic Graphical User Interface"
106,1,60876800,5614611.00,"Versatile methodical standardization"
107,3,52435482,8603210.00,"Seamless holistic knowledge user"
108,1,24957482,6476539.00,"Ameliorated high-level policy"
109,9,75660266,3804413.00,"Centralized user-facing Internet solution"
110,4,80824892,3885320.00,"Up-sized attitude-oriented archive"
111,4,77911351,965892.00,"Object-based regional moderator"
112,3,37954541,349776.00,"Stand-alone user-facing Graphical User Interface"
113,6,94199685,4877776.00,"Enterprise-wide reciprocal standardization"
114,1,37459898,2570507.00,"Fully-configurable background structure"
115,1,25435770,8986932.00,"Expanded explicit task-force"
116,3,63745078,5107505.00,"Persevering didactic core"
117,3,12690643,2369071.00,"Organic 5thgeneration algorithm"
118,4,48508477,3800359.00,"Ergonomic mobile customer loyalty"
119,2,55766100,1773409.00,"Realigned system-worthy middleware"
120,2,65853359,6848833.00,"Secured solution-oriented Internet solution"
121,10,38174715,8778845.00,"Phased value-added conglomeration"
122,2,56038867,5014935.00,"Fully-configurable zero-defect encryption"
123,5,81873341,4481872.00,"Horizontal disintermediate artificial intelligence"
124,6,83287029,4016519.00,"Open-architected web-enabled parallelism"
125,6,36674750,7851841.00,"Horizontal heuristic concept"
126,6,30196994,5499890.00,"Sharable systematic interface"
127,4,91631667,1785877.00,"Robust intermediate hub"
128,10,88772406,9273432.00,"Operative modular neural-net"
129,4,47943493,9784215.00,"Profit-focused holistic initiative"
130,2,78544350,9761736.00,"Implemented composite monitoring"
131,2,68725905,8429257.00,"Programmable homogeneous attitude"
132,3,6439704,6041990.00,"Synchronized cohesive utilization"
133,5,93497340,742804.00,"Universal maximized firmware"
134,7,14671520,1269651.00,"Total directional secured line"
135,10,60423742,7575386.00,"Public-key systematic model"
136,6,20457777,3973142.00,"Fundamental system-worthy monitoring"
137,2,96797682,3859843.00,"Business-focused actuating middleware"
138,4,3053056,588306.00,"Extended contextually-based structure"
139,2,83444106,4105880.00,"Cloned methodical solution"
140,2,74640130,2204668.00,"User-centric impactful array"
141,2,1573288,3579697.00,"Re-contextualized non-volatile moratorium"
142,9,18934063,8967291.00,"Team-oriented secondary circuit"
143,3,49360206,2566239.00,"Inverse non-volatile encoding"
144,7,31145800,6699472.00,"Operative intangible superstructure"
145,6,58225375,859808.00,"Optimized impactful portal"
146,5,86580028,7442768.00,"Synchronized asymmetric info-mediaries"
147,7,31847208,1802287.00,"Intuitive zero-defect pricing structure"
148,6,17697023,5144128.00,"Programmable optimal frame"
149,4,7110748,6203378.00,"Quality-focused 5thgeneration function"
150,9,66494628,2616359.00,"Right-sized leadingedge instruction set"
